zip,returns,wages,self_employed_income,freelance_ratio,freelance_score
98001.0,12604.0,1282158.0,50100.0,0.03907474741802492,0.36893785856740213
98002.0,8948.0,869502.0,23332.0,0.026833750813684155,0.2441682702414744
98003.0,12932.0,1409660.0,49368.0,0.035021210788417065,0.33156462515350066
98004.0,12482.0,3343352.0,115814.0,0.034640085758245016,0.32672954952094746
98005.0,7890.0,1318238.0,69280.0,0.052555001448903765,0.4716011570972293
98006.0,18006.0,2964028.0,159742.0,0.05389355296238767,0.5280768329239052
98007.0,9800.0,1305868.0,46532.0,0.03563300425464136,0.3274758503408656
98008.0,10942.0,1534662.0,68356.0,0.044541403905224736,0.4142553343013114
98010.0,2422.0,291366.0,10442.0,0.03583808680491204,0.27927767100061834
98011.0,11768.0,1536070.0,55830.0,0.03634599985677736,0.3406792066984056
98012.0,24034.0,2998692.0,115736.0,0.03859549430218242,0.3893230321065479
98014.0,3274.0,430048.0,20800.0,0.04836669395044274,0.39148355876516694
98019.0,5332.0,685002.0,23624.0,0.034487490547472854,0.2959602357821271
98020.0,9134.0,1051442.0,95126.0,0.09047194234204074,0.8250922142773643
98021.0,12574.0,1574460.0,52652.0,0.03344130686076496,0.3156680789394789
98022.0,9042.0,888620.0,37462.0,0.042157502644549975,0.3840441519097161
98023.0,17580.0,1913232.0,68058.0,0.03557226724202815,0.347703760370489
98024.0,2254.0,283262.0,17896.0,0.063178258996971,0.48779335169793553
98026.0,14812.0,1685588.0,95088.0,0.05641236173964219,0.5417426025310587
98027.0,12678.0,1975942.0,105506.0,0.053395291967071906,0.5044628259583842
98028.0,9068.0,1150552.0,59198.0,0.0514518248631961,0.46886078851327806
98029.0,10948.0,1714682.0,71162.0,0.04150157288640109,0.3860062708070223
98030.0,10258.0,1073640.0,39586.0,0.03687083193621698,0.34053570928355886
98031.0,13452.0,1429216.0,51790.0,0.03623665002350939,0.3445002883997004
98032.0,9482.0,1251040.0,32288.0,0.025808926972758665,0.23633895139766417
98033.0,14636.0,3076612.0,196416.0,0.06384165439125895,0.6123249608230816
98034.0,15768.0,2350804.0,106750.0,0.04540999589927531,0.4389239958706878
98036.0,13570.0,1477570.0,61518.0,0.04163457568846146,0.3961817339388061
98037.0,9600.0,1004702.0,36586.0,0.03641477771518321,0.3339097664788079
98038.0,14566.0,1727636.0,49404.0,0.02859630153574017,0.27413884431852537
